,model,wbit,wikitext2,ptb-new,c4-new,piqa,hellaswag,winogrande,arc_easy,arc_challenge
0,opt-125m,4,30.561059951782227,43.21402359008789,28.621780395507812,0.6267682263329706,0.29117705636327423,0.5201262825572218,0.42297979797979796,0.19027303754266212
0,opt-125m,3,39.630130767822266,54.94181442260742,34.15687561035156,0.6175190424374319,0.28589922326229833,0.5082872928176796,0.3792087542087542,0.19368600682593856
0,opt-125m,2,610.3513793945312,909.0650024414062,252.1359100341797,0.5527747551686616,0.2666799442342163,0.4925019731649566,0.3291245791245791,0.18686006825938567
0,opt-350m,4,23.126863479614258,32.77592086791992,23.605009078979492,0.64689880304679,0.3201553475403306,0.5130228887134964,0.4297138047138047,0.21075085324232082
0,opt-350m,3,26.806489944458008,38.19810104370117,26.48122215270996,0.6338411316648531,0.3150766779525991,0.5272296764009471,0.4187710437710438,0.1945392491467577
0,opt-350m,2,576.0819091796875,694.2869262695312,195.88482666015625,0.5386289445048966,0.2672774347739494,0.494869771112865,0.28114478114478114,0.18686006825938567
0,opt-1.3b,4,14.95976448059082,20.669795989990234,16.318124771118164,0.7181719260065288,0.40948018323043217,0.5887924230465666,0.5681818181818182,0.2508532423208191
0,opt-1.3b,3,16.33238983154297,23.191434860229492,17.363994598388672,0.7007616974972797,0.39912368054172476,0.590370955011839,0.5425084175084175,0.23208191126279865
0,opt-1.3b,2,143.97145080566406,178.8121795654297,49.597015380859375,0.5794341675734495,0.2741485759808803,0.5209155485398579,0.3409090909090909,0.18430034129692832
0,opt-2.7b,4,12.540743827819824,18.485986709594727,14.552891731262207,0.7377584330794341,0.45429197371041624,0.6132596685082873,0.6005892255892256,0.26023890784982934
0,opt-2.7b,3,13.678622245788574,20.129817962646484,15.410223007202148,0.7230685527747551,0.4283011352320255,0.5927387529597474,0.5627104377104377,0.257679180887372
0,opt-2.7b,2,72.70005798339844,110.19966888427734,39.17240905761719,0.6022850924918389,0.29635530770762797,0.5082872928176796,0.3648989898989899,0.197098976109215
0,opt-6.7b,4,11.026021003723145,16.103008270263672,12.831300735473633,0.7589771490750816,0.49721171081457877,0.6479873717442778,0.6473063973063973,0.30631399317406144
0,opt-6.7b,3,11.598618507385254,17.23369789123535,13.434473991394043,0.749183895538629,0.47868950408285205,0.6385161799526441,0.6397306397306397,0.30119453924914674
0,opt-6.7b,2,30.313928604125977,52.43238067626953,25.174367904663086,0.6485310119695321,0.36387173869747064,0.5367008681925809,0.4650673400673401,0.20819112627986347
0,opt-13b,4,10.16771411895752,14.660125732421875,12.137383460998535,0.7595212187159956,0.5196176060545709,0.6527229676400947,0.6759259259259259,0.3319112627986348
0,opt-13b,3,10.46095085144043,15.17081069946289,12.438183784484863,0.7540805223068553,0.5113523202549293,0.659037095501184,0.6603535353535354,0.3122866894197952
0,opt-13b,2,27.11528968811035,35.840572357177734,21.133541107177734,0.6877040261153428,0.41794463254331804,0.5919494869771112,0.5260942760942761,0.2568259385665529
0,opt-30b,4,,,,0.7758433079434167,0.5429197371041625,0.6827150749802684,0.6999158249158249,0.3464163822525597
0,opt-30b,3,,,,0.7758433079434167,0.5429197371041625,0.6827150749802684,0.6999158249158249,0.3464163822525597
0,opt-30b,2,,,,0.7758433079434167,0.5429197371041625,0.6827150749802684,0.6999158249158249,0.3464163822525597
0,llama-2-7b,4,5.610196590423584,236.91433715820312,7.449452877044678,0.780739934711643,0.5633339972117108,0.691397000789266,0.752104377104377,0.4189419795221843
0,llama-2-7b,3,6.384057521820068,1779.20947265625,8.468185424804688,0.7671381936887922,0.5364469229237204,0.6692975532754538,0.7264309764309764,0.39590443686006827
0,llama-2-7b,2,44.58424758911133,,39.41748809814453,0.5609357997823722,0.3014339772953595,0.4988161010260458,0.32954545454545453,0.21075085324232082
0,llama-2-13b,4,4.987992286682129,51.918212890625,6.843627452850342,0.7856365614798694,0.5980880302728541,0.7269139700078927,0.7882996632996633,0.4812286689419795
0,llama-2-13b,3,5.418461322784424,57.362552642822266,7.411654472351074,0.779107725788901,0.5792670782712607,0.7032359905288083,0.7769360269360269,0.45307167235494883
0,llama-2-13b,2,28.321311950683594,717.7325439453125,30.24994659423828,,,,,
